ID,x position [m] ,y position [m],z position [m],"Bx, speed in x [%c]","By, speed in y [%c]","Bz, speed in z [%c]","G, relativistic gamma factor"
78,-0.005055529106,-0.0004721371089,0.5961498017,-9.173430119e-06,-2.723861035e-06,0.5943171351,1.243424187
79,-0.005037038311,0.005451776019,0.6585689985,-7.384251716e-06,9.847799488e-06,0.5943384006,1.243448485
80,-0.005027987425,-0.005990482718,0.7209838223,-1.434931092e-05,-1.161898173e-05,0.5943555386,1.243468069
81,-0.005008999192,0.0003363864215,0.5368913619,-1.178253715e-05,1.625172271e-06,0.5943708508,1.243485567
82,-0.005043631888,-0.001909684685,0.5989835684,-7.17720342e-05,-1.39933125e-05,0.5940058222,1.243068746
83,-0.004987013033,0.002748107753,0.6613163624,-9.177338004e-06,1.068598415e-05,0.5938755086,1.2429201
84,-0.004956469817,-0.003355551866,0.5575061649,-9.318874708e-06,-2.124934457e-05,0.5947482076,1.243917182
85,-0.004850379364,0.001425083028,0.6199606758,5.450560395e-05,-1.223058028e-05,0.5947643847,1.243935704
86,-0.004800355351,-0.0007289831158,0.6824170666,8.50094616e-05,6.966354594e-06,0.5947858777,1.243960314
87,-0.004910008728,0.004656470899,0.5791604339,8.246367594e-06,-2.186701762e-05,0.5946512347,1.243806197
88,-0.004890590625,-0.004333885378,0.6413536958,7.056427708e-06,1.980108762e-05,0.5944499473,1.243575977
89,-0.004908571541,0.0008890924406,0.7037960281,-0.0001044495633,1.955556515e-05,0.5944790205,1.243609227
90,-0.004904009516,-0.001305560821,0.5432788755,7.265253917e-05,2.154925526e-05,0.5939712129,1.243029261
91,-0.004854835209,0.003557497042,0.605647001,-1.258232599e-05,1.492071123e-05,0.5939846693,1.243044608
92,-0.004842340174,-0.002568323053,0.6680303203,5.199779196e-06,-6.553436052e-06,0.5940105956,1.243074187
93,-0.00473484417,0.002027641165,0.5647824457,-1.23814547e-05,4.116935509e-06,0.594886125,1.24407511
94,-0.004684579199,-0.000200373162,0.6272443166,2.214236601e-05,-9.094411686e-07,0.5948946111,1.244084831
95,-0.004796699949,0.006737891152,0.6894658171,-1.212566724e-05,1.43994036e-05,0.5944173553,1.243538719
96,-0.004780612117,-0.006734032114,0.5854907049,-1.036822181e-05,-1.075696909e-05,0.5944356025,1.243559578
97,-0.004853909953,0.0002115867506,0.6482632266,-9.962306778e-05,1.129448576e-05,0.5942909142,1.243394239
98,-0.004834587245,-0.002099243429,0.7106958509,-8.831019885e-05,-3.966319216e-05,0.5943389053,1.24344907
99,-0.004715231913,0.002556449252,0.5501819914,3.445670649e-05,-8.081475221e-06,0.5942677944,1.24336782
100,-0.004728955695,-0.003570782829,0.6126021146,-1.260865173e-05,-2.050415446e-05,0.5942934072,1.243397078
101,-0.00464057592,0.001286380106,0.6750284719,0.0001081201614,-2.266620143e-05,0.594320074,1.243427556
102,-0.004627272149,-0.0008699131748,0.5719826102,-5.659923047e-05,-1.010047395e-05,0.5947752928,1.243948192
103,-0.00468656307,0.004356645816,0.6344436511,-1.499314836e-06,-4.350388182e-06,0.5947906953,1.243965823
104,-0.004672354541,-0.004670398782,0.6969008672,4.871545825e-06,1.482876471e-05,0.5948099009,1.243987814
105,-0.004777737139,0.0007536149986,0.5924120959,-6.460218126e-05,2.411707076e-06,0.5939693146,1.243027094
106,-0.004767038363,-0.001478088341,0.6547811033,-5.964022334e-05,-1.563309467e-05,0.5939856679,1.24304575
107,-0.004648113113,0.003337338628,0.7171500948,-1.911730475e-05,5.550157115e-06,0.5940021734,1.243064578
108,-0.004639845761,-0.002754071414,0.5389084982,6.536949172e-07,-6.470697987e-06,0.5939601234,1.243016605
109,-0.004668467171,0.001924572783,0.6013175449,4.311194109e-05,-1.022067408e-05,0.5940267962,1.243092675
110,-0.004665889079,-0.0003368001764,0.6634267584,2.732738909e-05,4.736096982e-06,0.5937943488,1.242827569
111,-0.004580104077,0.005993614714,0.5599511639,-1.052658732e-05,1.457518192e-05,0.5943235869,1.243431559
